   1.340   0.218    0.3715E+00    0.5380E-01    0.2467E-01    0.7106E+03
   1.360   0.220    0.3705E+00    0.5460E-01    0.2522E-01    0.7109E+03
   1.380   0.222    0.3695E+00    0.5542E-01    0.2578E-01    0.7113E+03
   1.400   0.223    0.3685E+00    0.5623E-01    0.2633E-01    0.7116E+03
   1.420   0.225    0.3675E+00    0.5704E-01    0.2691E-01    0.7119E+03
   1.440   0.227    0.3665E+00    0.5783E-01    0.2746E-01    0.7122E+03
   1.460   0.229    0.3655E+00    0.5864E-01    0.2803E-01    0.7125E+03
   1.480   0.230    0.3644E+00    0.5945E-01    0.2861E-01    0.7128E+03
   1.500   0.232    0.3634E+00    0.6025E-01    0.2918E-01    0.7131E+03
   1.520   0.234    0.3624E+00    0.6104E-01    0.2975E-01    0.7134E+03
   1.540   0.236    0.3613E+00    0.6184E-01    0.3035E-01    0.7136E+03
   1.560   0.237    0.3603E+00    0.6262E-01    0.3092E-01    0.7139E+03
   1.580   0.239    0.3592E+00    0.6342E-01    0.3155E-01    0.7142E+03
   1.600   0.241    0.3580E+00    0.6419E-01    0.3215E-01    0.7144E+03
   1.620   0.242    0.3569E+00    0.6496E-01    0.3275E-01    0.7147E+03
   1.640   0.244    0.3557E+00    0.6576E-01    0.3334E-01    0.7149E+03
   1.660   0.246    0.3546E+00    0.6655E-01    0.3395E-01    0.7152E+03
   1.680   0.247    0.3536E+00    0.6733E-01    0.3457E-01    0.7154E+03
   1.700   0.249    0.3524E+00    0.6808E-01    0.3517E-01    0.7156E+03
   1.720   0.250    0.3513E+00    0.6889E-01    0.3579E-01    0.7159E+03
   1.740   0.252    0.3501E+00    0.6959E-01    0.3641E-01    0.7161E+03
   1.760   0.254    0.3491E+00    0.7044E-01    0.3702E-01    0.7163E+03
   1.780   0.255    0.3478E+00    0.7097E-01    0.3779E-01    0.7165E+03
   1.800   0.257    0.3467E+00    0.7179E-01    0.3816E-01    0.7167E+03
   1.820   0.258    0.3451E+00    0.7245E-01    0.3883E-01    0.7169E+03
   1.840   0.260    0.3439E+00    0.7334E-01    0.3946E-01    0.7171E+03
   1.860   0.262    0.3427E+00    0.7410E-01    0.4007E-01    0.7173E+03
   1.880   0.263    0.3416E+00    0.7485E-01    0.4069E-01    0.7175E+03
   1.900   0.265    0.3404E+00    0.7561E-01    0.4132E-01    0.7177E+03
   1.920   0.266    0.3392E+00    0.7636E-01    0.4195E-01    0.7179E+03
   1.940   0.268    0.3380E+00    0.7712E-01    0.4258E-01    0.7181E+03
   1.960   0.269    0.3368E+00    0.7787E-01    0.4321E-01    0.7183E+03
   1.980   0.271    0.3357E+00    0.7861E-01    0.4384E-01    0.7184E+03
   2.000   0.273    0.3345E+00    0.7936E-01    0.4448E-01    0.7186E+03
   2.020   0.274    0.3333E+00    0.8010E-01    0.4512E-01    0.7188E+03
   2.040   0.276    0.3321E+00    0.8088E-01    0.4574E-01    0.7189E+03
   2.060   0.277    0.3309E+00    0.8162E-01    0.4637E-01    0.7191E+03
   2.080   0.279    0.3297E+00    0.8236E-01    0.4703E-01    0.7193E+03
   2.100   0.280    0.3284E+00    0.8309E-01    0.4767E-01    0.7194E+03
   2.120   0.282    0.3272E+00    0.8382E-01    0.4832E-01    0.7196E+03
   2.140   0.283    0.3259E+00    0.8452E-01    0.4898E-01    0.7197E+03
   2.160   0.285    0.3247E+00    0.8525E-01    0.4962E-01    0.7199E+03
   2.180   0.286    0.3235E+00    0.8582E-01    0.5033E-01    0.7200E+03
   2.200   0.288    0.3223E+00    0.8663E-01    0.5096E-01    0.7201E+03
   2.220   0.289    0.3209E+00    0.8717E-01    0.5163E-01    0.7203E+03
   2.240   0.291    0.3196E+00    0.8800E-01    0.5229E-01    0.7204E+03
   2.260   0.292    0.3183E+00    0.8869E-01    0.5293E-01    0.7205E+03
   2.280   0.293    0.3170E+00    0.8936E-01    0.5359E-01    0.7207E+03
   2.300   0.295    0.3157E+00    0.9006E-01    0.5425E-01    0.7208E+03
   2.320   0.296    0.3145E+00    0.9081E-01    0.5488E-01    0.7209E+03
   2.340   0.298    0.3132E+00    0.9151E-01    0.5552E-01    0.7210E+03
