   0.760    0.1113E+00    0.1000E+00    0.1124E+00   -0.2634E+00    0.1538E+00    0.5380E-01   -0.2543E-01   -0.1301E-01
   0.780    0.1093E+00    0.9839E-01    0.1103E+00   -0.2584E+00    0.1515E+00    0.5313E-01   -0.2477E-01   -0.1283E-01
   0.800    0.1074E+00    0.9681E-01    0.1083E+00   -0.2536E+00    0.1493E+00    0.5247E-01   -0.2412E-01   -0.1265E-01
   0.820    0.1055E+00    0.9525E-01    0.1063E+00   -0.2489E+00    0.1471E+00    0.5183E-01   -0.2347E-01   -0.1247E-01
   0.840    0.1036E+00    0.9376E-01    0.1043E+00   -0.2445E+00    0.1450E+00    0.5122E-01   -0.2284E-01   -0.1230E-01
   0.860    0.1018E+00    0.9227E-01    0.1024E+00   -0.2401E+00    0.1429E+00    0.5061E-01   -0.2222E-01   -0.1213E-01
   0.880    0.9997E-01    0.9083E-01    0.1005E+00   -0.2360E+00    0.1409E+00    0.5002E-01   -0.2160E-01   -0.1195E-01
   0.900    0.9822E-01    0.8942E-01    0.9864E-01   -0.2319E+00    0.1389E+00    0.4946E-01   -0.2099E-01   -0.1177E-01
   0.920    0.9652E-01    0.8806E-01    0.9686E-01   -0.2281E+00    0.1370E+00    0.4890E-01   -0.2040E-01   -0.1160E-01
   0.940    0.9485E-01    0.8672E-01    0.9511E-01   -0.2243E+00    0.1351E+00    0.4837E-01   -0.1982E-01   -0.1143E-01
   0.960    0.9322E-01    0.8542E-01    0.9341E-01   -0.2207E+00    0.1333E+00    0.4784E-01   -0.1925E-01   -0.1126E-01
   0.980    0.9164E-01    0.8415E-01    0.9174E-01   -0.2172E+00    0.1315E+00    0.4734E-01   -0.1868E-01   -0.1109E-01
   1.000    0.9009E-01    0.8292E-01    0.9012E-01   -0.2139E+00    0.1298E+00    0.4684E-01   -0.1814E-01   -0.1093E-01
   1.020    0.8858E-01    0.8171E-01    0.8854E-01   -0.2106E+00    0.1281E+00    0.4636E-01   -0.1760E-01   -0.1076E-01
   1.040    0.8711E-01    0.8054E-01    0.8701E-01   -0.2074E+00    0.1264E+00    0.4590E-01   -0.1707E-01   -0.1060E-01
   1.060    0.8567E-01    0.7939E-01    0.8551E-01   -0.2044E+00    0.1248E+00    0.4544E-01   -0.1656E-01   -0.1044E-01
   1.080    0.8427E-01    0.7828E-01    0.8405E-01   -0.2014E+00    0.1233E+00    0.4500E-01   -0.1606E-01   -0.1029E-01
   1.100    0.8291E-01    0.7719E-01    0.8263E-01   -0.1985E+00    0.1218E+00    0.4457E-01   -0.1557E-01   -0.1013E-01
   1.120    0.8158E-01    0.7613E-01    0.8124E-01   -0.1957E+00    0.1203E+00    0.4415E-01   -0.1509E-01   -0.9984E-02
   1.140    0.8029E-01    0.7511E-01    0.7990E-01   -0.1930E+00    0.1189E+00    0.4375E-01   -0.1463E-01   -0.9833E-02
   1.160    0.7903E-01    0.7410E-01    0.7859E-01   -0.1904E+00    0.1175E+00    0.4335E-01   -0.1418E-01   -0.9688E-02
   1.180    0.7781E-01    0.7313E-01    0.7732E-01   -0.1878E+00    0.1161E+00    0.4296E-01   -0.1374E-01   -0.9543E-02
   1.200    0.7662E-01    0.7218E-01    0.7608E-01   -0.1853E+00    0.1148E+00    0.4259E-01   -0.1331E-01   -0.9401E-02
   1.220    0.7546E-01    0.7125E-01    0.7488E-01   -0.1829E+00    0.1135E+00    0.4222E-01   -0.1289E-01   -0.9261E-02
   1.240    0.7433E-01    0.7035E-01    0.7371E-01   -0.1806E+00    0.1122E+00    0.4186E-01   -0.1249E-01   -0.9124E-02
   1.260    0.7323E-01    0.6947E-01    0.7257E-01   -0.1783E+00    0.1110E+00    0.4151E-01   -0.1209E-01   -0.8990E-02
   1.280    0.7215E-01    0.6861E-01    0.7147E-01   -0.1760E+00    0.1098E+00    0.4117E-01   -0.1171E-01   -0.8861E-02
   1.300    0.7111E-01    0.6778E-01    0.7039E-01   -0.1739E+00    0.1086E+00    0.4084E-01   -0.1134E-01   -0.8732E-02
   1.320    0.7010E-01    0.6697E-01    0.6935E-01   -0.1717E+00    0.1075E+00    0.4051E-01   -0.1098E-01   -0.8608E-02
   1.340    0.6911E-01    0.6618E-01    0.6833E-01   -0.1697E+00    0.1064E+00    0.4019E-01   -0.1063E-01   -0.8486E-02
   1.360    0.6815E-01    0.6541E-01    0.6734E-01   -0.1676E+00    0.1053E+00    0.3988E-01   -0.1030E-01   -0.8365E-02
   1.380    0.6721E-01    0.6466E-01    0.6638E-01   -0.1657E+00    0.1042E+00    0.3958E-01   -0.9968E-02   -0.8248E-02
   1.400    0.6630E-01    0.6393E-01    0.6544E-01   -0.1637E+00    0.1032E+00    0.3928E-01   -0.9650E-02   -0.8132E-02
