   0.000   -0.8661E+00    0.2898E+00    0.9637E-01   -0.8696E+00    0.2978E+00    0.9942E-01
   0.000   -0.8661E+00    0.2898E+00    0.9637E-01   -0.8696E+00    0.2978E+00    0.9941E-01
   0.020   -0.7783E+00    0.2899E+00    0.9671E-01   -0.7812E+00    0.2978E+00    0.9965E-01
   0.040   -0.7030E+00    0.2895E+00    0.9686E-01   -0.7052E+00    0.2973E+00    0.9968E-01
   0.060   -0.6380E+00    0.2885E+00    0.9682E-01   -0.6397E+00    0.2962E+00    0.9953E-01
   0.080   -0.5817E+00    0.2871E+00    0.9661E-01   -0.5829E+00    0.2946E+00    0.9922E-01
   0.100   -0.5327E+00    0.2852E+00    0.9626E-01   -0.5334E+00    0.2926E+00    0.9877E-01
   0.120   -0.4899E+00    0.2831E+00    0.9580E-01   -0.4902E+00    0.2903E+00    0.9821E-01
   0.140   -0.4523E+00    0.2806E+00    0.9523E-01   -0.4523E+00    0.2877E+00    0.9755E-01
   0.160   -0.4193E+00    0.2779E+00    0.9457E-01   -0.4189E+00    0.2849E+00    0.9680E-01
   0.180   -0.3902E+00    0.2751E+00    0.9383E-01   -0.3895E+00    0.2818E+00    0.9599E-01
   0.200   -0.3644E+00    0.2720E+00    0.9303E-01   -0.3634E+00    0.2786E+00    0.9512E-01
   0.220   -0.3416E+00    0.2688E+00    0.9217E-01   -0.3403E+00    0.2752E+00    0.9419E-01
   0.240   -0.3212E+00    0.2655E+00    0.9127E-01   -0.3197E+00    0.2717E+00    0.9323E-01
   0.260   -0.3031E+00    0.2621E+00    0.9034E-01   -0.3014E+00    0.2681E+00    0.9224E-01
   0.280   -0.2868E+00    0.2586E+00    0.8936E-01   -0.2850E+00    0.2645E+00    0.9121E-01
   0.300   -0.2722E+00    0.2550E+00    0.8836E-01   -0.2702E+00    0.2608E+00    0.9016E-01
   0.320   -0.2591E+00    0.2514E+00    0.8734E-01   -0.2570E+00    0.2570E+00    0.8910E-01
   0.340   -0.2474E+00    0.2478E+00    0.8631E-01   -0.2450E+00    0.2532E+00    0.8802E-01
   0.360   -0.2367E+00    0.2442E+00    0.8527E-01   -0.2343E+00    0.2494E+00    0.8695E-01
   0.380   -0.2271E+00    0.2405E+00    0.8420E-01   -0.2245E+00    0.2456E+00    0.8585E-01
   0.400   -0.2184E+00    0.2368E+00    0.8314E-01   -0.2157E+00    0.2417E+00    0.8476E-01
   0.420   -0.2104E+00    0.2332E+00    0.8208E-01   -0.2077E+00    0.2379E+00    0.8367E-01
   0.440   -0.2032E+00    0.2295E+00    0.8102E-01   -0.2003E+00    0.2342E+00    0.8258E-01
