   0.980  -0.126E-01   0.281E-03   0.101E-02   0.254E-03   0.565E-02   0.719E-02  -0.593E-03
   1.000  -0.125E-01   0.283E-03   0.101E-02   0.253E-03   0.558E-02   0.715E-02  -0.603E-03
   1.020  -0.124E-01   0.286E-03   0.100E-02   0.253E-03   0.552E-02   0.712E-02  -0.615E-03
   1.040  -0.123E-01   0.287E-03   0.100E-02   0.253E-03   0.545E-02   0.709E-02  -0.626E-03
   1.060  -0.122E-01   0.289E-03   0.997E-03   0.252E-03   0.539E-02   0.705E-02  -0.637E-03
   1.080  -0.120E-01   0.291E-03   0.993E-03   0.251E-03   0.532E-02   0.701E-02  -0.647E-03
   1.100  -0.119E-01   0.292E-03   0.989E-03   0.250E-03   0.525E-02   0.698E-02  -0.658E-03
   1.120  -0.118E-01   0.293E-03   0.985E-03   0.248E-03   0.519E-02   0.694E-02  -0.669E-03
   1.140  -0.117E-01   0.294E-03   0.980E-03   0.247E-03   0.512E-02   0.691E-02  -0.680E-03
   1.160  -0.116E-01   0.295E-03   0.975E-03   0.246E-03   0.505E-02   0.687E-02  -0.690E-03
   1.180  -0.115E-01   0.296E-03   0.970E-03   0.244E-03   0.499E-02   0.683E-02  -0.701E-03
   1.200  -0.114E-01   0.297E-03   0.965E-03   0.243E-03   0.492E-02   0.680E-02  -0.712E-03
   1.220  -0.113E-01   0.297E-03   0.959E-03   0.241E-03   0.486E-02   0.676E-02  -0.723E-03
   1.240  -0.112E-01   0.298E-03   0.953E-03   0.240E-03   0.479E-02   0.673E-02  -0.734E-03
   1.260  -0.111E-01   0.298E-03   0.947E-03   0.238E-03   0.473E-02   0.670E-02  -0.745E-03
   1.280  -0.110E-01   0.298E-03   0.940E-03   0.235E-03   0.466E-02   0.666E-02  -0.755E-03
   1.300  -0.109E-01   0.298E-03   0.933E-03   0.233E-03   0.460E-02   0.662E-02  -0.765E-03
   1.320  -0.108E-01   0.298E-03   0.926E-03   0.231E-03   0.453E-02   0.658E-02  -0.775E-03
   1.340  -0.107E-01   0.297E-03   0.919E-03   0.228E-03   0.447E-02   0.655E-02  -0.785E-03
   1.360  -0.106E-01   0.297E-03   0.912E-03   0.226E-03   0.441E-02   0.651E-02  -0.796E-03
   1.380  -0.105E-01   0.296E-03   0.904E-03   0.223E-03   0.434E-02   0.647E-02  -0.805E-03
   1.400  -0.104E-01   0.296E-03   0.896E-03   0.221E-03   0.428E-02   0.644E-02  -0.816E-03
   1.420  -0.103E-01   0.295E-03   0.888E-03   0.218E-03   0.422E-02   0.640E-02  -0.825E-03
   1.440  -0.102E-01   0.294E-03   0.880E-03   0.216E-03   0.416E-02   0.637E-02  -0.836E-03
   1.460  -0.101E-01   0.294E-03   0.872E-03   0.213E-03   0.410E-02   0.634E-02  -0.846E-03
   1.480  -0.100E-01   0.293E-03   0.864E-03   0.210E-03   0.403E-02   0.630E-02  -0.855E-03
   1.500  -0.996E-02   0.292E-03   0.855E-03   0.207E-03   0.397E-02   0.627E-02  -0.865E-03
   1.520  -0.987E-02   0.292E-03   0.847E-03   0.204E-03   0.391E-02   0.624E-02  -0.875E-03
   1.540  -0.977E-02   0.289E-03   0.838E-03   0.201E-03   0.385E-02   0.620E-02  -0.884E-03
   1.560  -0.968E-02   0.301E-03   0.830E-03   0.198E-03   0.380E-02   0.618E-02  -0.894E-03
   1.580  -0.959E-02   0.292E-03   0.821E-03   0.195E-03   0.374E-02   0.614E-02  -0.903E-03
   1.600  -0.949E-02   0.289E-03   0.814E-03   0.192E-03   0.368E-02   0.610E-02  -0.910E-03
   1.620  -0.941E-02   0.296E-03   0.812E-03   0.191E-03   0.363E-02   0.607E-02  -0.917E-03
   1.640  -0.932E-02   0.293E-03   0.797E-03   0.186E-03   0.357E-02   0.604E-02  -0.929E-03
   1.660  -0.923E-02   0.287E-03   0.786E-03   0.183E-03   0.351E-02   0.600E-02  -0.938E-03
   1.680  -0.914E-02   0.288E-03   0.776E-03   0.179E-03   0.345E-02   0.597E-02  -0.947E-03
   1.700  -0.906E-02   0.287E-03   0.774E-03   0.176E-03   0.341E-02   0.594E-02  -0.955E-03
   1.720  -0.898E-02   0.278E-03   0.757E-03   0.172E-03   0.334E-02   0.591E-02  -0.964E-03
   1.740  -0.889E-02   0.291E-03   0.764E-03   0.171E-03   0.331E-02   0.588E-02  -0.971E-03
   1.760  -0.880E-02   0.280E-03   0.739E-03   0.165E-03   0.323E-02   0.585E-02  -0.982E-03
   1.780  -0.872E-02   0.358E-03   0.764E-03   0.168E-03   0.331E-02   0.583E-02  -0.972E-03
   1.800  -0.863E-02   0.293E-03   0.721E-03   0.159E-03   0.312E-02   0.579E-02  -0.100E-02
   1.820  -0.855E-02   0.307E-03   0.756E-03   0.164E-03   0.312E-02   0.574E-02  -0.995E-03
   1.840  -0.847E-02   0.267E-03   0.705E-03   0.153E-03   0.303E-02   0.570E-02  -0.101E-02
   1.860  -0.839E-02   0.262E-03   0.693E-03   0.149E-03   0.297E-02   0.568E-02  -0.102E-02
   1.880  -0.832E-02   0.260E-03   0.685E-03   0.145E-03   0.293E-02   0.565E-02  -0.103E-02
   1.900  -0.825E-02   0.257E-03   0.676E-03   0.142E-03   0.288E-02   0.563E-02  -0.103E-02
   1.920  -0.818E-02   0.255E-03   0.666E-03   0.139E-03   0.283E-02   0.560E-02  -0.104E-02
   1.940  -0.811E-02   0.252E-03   0.657E-03   0.135E-03   0.278E-02   0.558E-02  -0.105E-02
